Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Sep 14 2026 00:00:00 GMT+0530 (India Standard Time),Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),Sat Sep 12 2026 00:00:00 GMT+0530 (India Standard Time),Fri Sep 11 2026 00:00:00 GMT+0530 (India Standard Time),Thu Sep 10 2026 00:00:00 GMT+0530 (India Standard Time),Wed Sep 09 2026 00:00:00 GMT+0530 (India Standard Time),Tue Sep 08 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Chennai,Pod,External Damage/Bruises,0,0.009518512972984535,0.017672895496010605,0.008100810081008101,0.008627038400841662,0.009419955971944914,0.008926775296720982,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Rotten/ Fungal,0,0.0000855596671728947,0.00020791641760012475,0.00008438343834383438,0.0001315097317201473,0.00017918394511851738,0.00025145845906256284,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Internal Rotten,0,0.0008983765053153943,0.0025989552200015595,0.0009000900090009,0.0008942661756970016,0.0009215174320380894,0.0009303962985314826,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Taste / water content,0,0.0003208487518983551,0.0005717701484003431,0.0003094059405940594,0.0003156233561283535,0.00040956330312803975,0.00025145845906256284,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0.000026301946344029457,0,0,Tier-1
,,,,,,,,,,,,,,Chennai,DP,Overripe,0,0.0003422386686915788,0.00046781193960028066,0.000225022502250225,0.0003156233561283535,0.0002559770644550248,0.00032689599678133174,Tier-1
,,,,,,,,,,,,,,Chennai,DP,Raw,0,0.0008983765053153943,0.0016113522364009669,0.0006188118811881188,0.0007364544976328248,0.000742333486919572,0.00088010460671897,Tier-1
,,,,,,,,,,,,,,Chennai,WH,Shrivelled / Dry,0,0.006352805287587431,0.0029108298464017466,0.0011251125112511251,0.0013677012098895318,0.0017150463318486664,0.0015087507543753772,Tier-1
,,,,,,,,,,,,,,Chennai,WH,Underweight (packing issue),0,0.0005347479198305918,0.0005197910440003119,0.0002812781278127813,0.00023671751709626512,0.00035836789023703476,0.0004274793804063569,Tier-1
,,,,,,,,,,,,,,Delhi,CX,Customer perception / Wrong claim,0,0.0041763816649158314,0.008768170880443023,0.0035350187797872678,0.0038327865657582748,0.003683982415949477,0.0031576869942766925,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,External Damage/Bruises,0,0.006098029670245203,0.014503741305995979,0.006565034876747783,0.00789294182609543,0.006686892452479723,0.005789092822840603,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,External Rotten/ Fungal,0,0.00010248789361756643,0.0006592609684543627,0.00022093867373670423,0.00009744372624809173,0.0002476626834251749,0.00009867771857114664,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Internal Rotten,0,0.000845525122344923,0.0024392655832811416,0.0011678187040368652,0.001331730925390587,0.001609807442263637,0.0012170251957108085,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Taste / water content,0,0.0013579645904327551,0.002175561195899397,0.0013256320424202253,0.0010069185045636145,0.0010835242399851403,0.000822314321426222,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Incorrect size (sourcing issue),0,0,0,0.000031562667676672035,0,0,0,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Overripe,0,0.0004099515744702657,0.0007911131621452351,0.00044187734747340847,0.0003897749049923669,0.00040245186056590924,0.0004604960199986843,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Raw,0,0.0009992569627712727,0.0042851962949533575,0.0006312533535334406,0.0004547373891577614,0.0006501145439910842,0.00039471087428458656,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Shrivelled / Dry,0,0.002408465500012811,0.0026370438738174506,0.0004734400151500805,0.0007470685679020365,0.0007120302148473778,0.0010196697585685153,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Underweight (packing issue),0,0.0005124394680878321,0.00032963048422718133,0.0002525013414133763,0.0003248124208269724,0.00021670484799702806,0.0004604960199986843,Tier-1
,,,,,,,,,,,,,,Hyderabad,CX,Customer perception / Wrong claim,0,0.006807679186179946,0.008079647712042887,0.0033209456788171107,0.0031432152306682315,0.0032429882662788185,0.004015373142889921,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
